RTO Loc,RTO Code
Mysore,KA-55
Basavakalyan,KA-56
"Shantinagar, Bangalore",KA-57
Banashankari,KA-58
"Chamrajpet, Bengaluru Dist - 560019",KA-59
"R.T. Nagar, Bengaluru District",KA-60
Marathahalli,KA-61
"Surathkal, Mangaluru",KA-62
Hubballi - 580026,KA-63
"Madhugiri, Tumakuru District - 572132",KA-64
Dandeli - 581325,KA-65
"Tarikere, Chikkamagaluru District",KA-66
,
Madhya Pradesh,MP-01
Madhya Pradesh,MP-02
Madhya Pradesh,MP-03
Bhopal,MP-04
Hoshangabad,MP-05
Morena,MP-06
Gwalior,MP-07
Guna,MP-08
Indore,MP-09
Khargone,MP-10
Dhar,MP-11
Khandwa,MP-12
Ujjain,MP-13
Mandsaur,MP-14
Sagar,MP-15
Chhatarpur,MP-16
Rewa,MP-17
Shahdol,MP-18
Satna,MP-19
Jabalpur,MP-20
Katni,MP-21
Seoni,MP-22
Raipur,MP-23
Durg,MP-24
Jagdalpur,MP-25
Bilaspur,MP-26
Ambikapur,MP-27
Chhindwara,MP-28
Rajnandgaon,MP-29
Bhind,MP-30
Sheopur,MP-31
Datia,MP-32
Shivpuri,MP-33
Damoh,MP-34
Panna,MP-35
Tikamgarh,MP-36
Sehore,MP-37
Raisen,MP-38
Rajgarh,MP-39
Vidisha,MP-40
Dewas,MP-41
Shajapur,MP-42
Ratlam,MP-43
Neemuch,MP-44
Jhabua,MP-45
Barwani,MP-46
Harda,MP-47
Betul,MP-48
Narsinghpur,MP-49
Balaghat,MP-50
Mandla,MP-51
Dindori,MP-52
Sidhi,MP-53
Umaria,MP-54
Anuppur,MP-65
Singrauli,MP-66
Ashoknagar,MP-67
Burhanpur,MP-68
Alirajpur,MP-69
Agar,MP-70
,
Imphal East,MN-01
Churachandpur,MN-02
Kangpokpi,MN-03
Thoubal,MN-04
Bishnupur,MN-05
Imphal West,MN-06
Ukhrul,MN-07
,
Aizawl,MZ-01
Lunglei,MZ-02
Saiha,MZ-03
Champhai,MZ-04
Kolasib,MZ-05
Serchhip,MZ-06
Lawngtlai,MZ-07
Mamit,MZ-08
,
Balasore,OD-01
Bhubaneswar,OD-02
Balangir,OD-03
Chandikhole,OD-04
Cuttack,OD-05
Dhenkanal,OD-06
Ganjam,OD-07
Kalahandi,OD-08
Keonjhar,OD-09
Koraput,OD-10
Mayurbhanj,OD-11
Phulabani,OD-12
Puri,OD-13
Rourkela,OD-14
Sambalpur,OD-15
Sundergarh,OD-16
Baragarh,OD-17
Rayagada,OD-18
Angul,OD-19
Gajapati,OD-20
Jagatsinghpur,OD-21
Bhadrak,OD-22
Jharsuguda,OD-23
Nabarangpur,OD-24
Nayagarh,OD-25
Nuapada,OD-26
